TYPE;NUM;PARENT_CODE;NAME;MEASURE_UNIT;UNIT_WEIGHT;ENERGY;FIBER;FAT;CARBOHYDRATE;PRICE;CATEGORY;QUICK_CODE;EXTERNAL_ID;COOKING_PLACE_TYPE;INCLUDED_IN_MENU
GOODS;31;52;"Сироп ""Апельсин""";л;1,3;0;0;0;0;0;;34;;;0
GOODS;374;52;"Сироп ""Гуава""";л;1,3;0;0;0;0;0;;426;;;0
GOODS;364;59;тряпка для посуды;шт;1;0;0;0;0;0;;416;;;0
GOODS;363;56;вода не газ;л;1;0;0;0;0;0;;415;;;0
GOODS;362;56;вода газ;л;1;0;0;0;0;0;;414;;;0
GOODS;373;52;сироп гибискус;л;1,3;0;0;0;0;0;;425;;;0
GOODS;376;55;маршмелоу;кг;1;0;0;0;0;0;;428;;;0
GOODS;375;59;стакан для кофе 350;шт;1;0;0;0;0;0;;427;;;0
GOODS;88;55;Топиока;кг;1;0;0;0;0;319;;91;;;0
GOODS;15;56;"Чай зеленый ""Улун""";кг;1;0;0;0;0;1250;;15;;;0
GOODS;53;52;"Сироп ""Личи""";л;1,3;0;0;0;0;0;;56;;;0
GOODS;58;52;"Сироп ""Персик""";л;1,3;0;0;0;0;410;;61;;;0
GOODS;13;56;"Чай зеленый ""Жасмин""";кг;1;0;0;0;0;1030;;13;;;0
GOODS;11;56;"Чай черный ""Эрл Грей""";кг;1;0;0;0;0;860;;11;;;0
GOODS;23;52;Фруктоза;л;1,3;0;0;0;0;220;;23;;;0
GOODS;17;52;"Сироп ""Гренадин""";л;1,3;0;0;0;0;410;;17;;;0
GOODS;24;13;пленка для запаивания;шт;1;0;0;0;0;0,5;;24;;;0
GOODS;80;55;"Топпинг ""Кусочки кокоса в винограде""";кг;1;0;0;0;0;274;;83;;;0
GOODS;81;55;"Топпинг ""Кусочки кокоса в зеленом яблоке""";кг;1;0;0;0;0;274;;84;;;0
GOODS;79;55;"Топпинг ""Фруктовое желе ""Ассорти""";кг;1;0;0;0;0;301;;82;;;0
GOODS;326;61;Маргарин;кг;1;0;0;0;0;35;;370;;;0
GOODS;325;61;Крахмал;кг;1;0;0;0;0;35;;369;;;0
GOODS;46;52;"Сироп ""Йогурт""";л;1,3;0;0;0;0;410;;49;;;0
GOODS;50;52;"Сироп ""Кумкват""";л;1,3;0;0;0;0;410;;53;;;0
GOODS;83;55;"Топпинг ""Кусочки кокоса в клубнике""";кг;1;0;0;0;0;274;;86;;;0
GOODS;82;55;"Топпинг ""Кусочки кокоса в личи""";кг;1;0;0;0;0;274;;85;;;0
GOODS;84;55;"Топпинг ""Кусочки кокоса в маракуйя""";кг;1;0;0;0;0;274;;87;;;0
GOODS;380;55;"Топпинг ""Кусочки кокоса зелный чай""";кг;1;0;0;0;0;274;;432;;;0
GOODS;74;55;"Топпинг ""Шарики Клубника""";кг;1;0;0;0;0;527;;77;;;0
GOODS;73;55;"Топпинг ""Шарики Личи""";кг;1;0;0;0;0;527;;76;;;0
GOODS;315;55;"Топпинг ""Шарики Маракуйя""";кг;1;0;0;0;0;527;;358;;;0
GOODS;77;55;"Топпинг ""Шарики Черника""";кг;1;0;0;0;0;527;;80;;;0
GOODS;340;55;Топпинг шарики  манго;кг;1;0;0;0;0;527;;391;;;0
GOODS;341;13;пакет под стаканы( 250 шт в уп);шт;1;0;0;0;0;1,6;;393;;;0
GOODS;51;52;"Сироп ""Клубника""";л;1,3;0;0;0;0;0;;54;;;0
GOODS;323;58;Сливки для кофе 10% ;л;1;0;0;0;0;38,7;;367;;;0
GOODS;327;61;Разрыхлитель;кг;1;0;0;0;0;35;;371;;;0
GOODS;21;13;Стакан пластиковый 500 мл;шт;0,01;0;0;0;0;3,95;;21;;;0
GOODS;78;55;"Топпинг ""Кусочки кокоса в ананасе""";кг;1;0;0;0;0;0;;81;;;0
GOODS;324;61;Мука ;кг;1;0;0;0;0;35;;368;;;0
GOODS;59;52;"Сироп  Монин ""Огурец""";л;1;0;0;0;0;494;;62;;;0
GOODS;57;52;"Сироп Монин  ""Пино Колада""";л;1;0;0;0;0;630;;60;;;0
GOODS;332;52;"Сироп Монин ""Ваниль""";л;1;0;0;0;0;516;;383;;;0
GOODS;56;52;"Сироп Монин ""Мохито""";л;1;0;0;0;0;528;;59;;;0
GOODS;39;52;"Сироп Монин-Кеди ""Блю Курасао""";л;1;0;0;0;0;235;;42;;;0
GOODS;52;52;"Сироп Монин-Кеди ""Лимон""";л;1;0;0;0;0;233;;55;;;0
GOODS;444;55;"Топпинг ""кусочки кокоса манго""";кг;1;0;0;0;0;0;;505;;Основное место приготовления;0
GOODS;454;55;"Топпинг ""Шарики Персик""";кг;1;0;0;0;0;400;;515;;;0
GOODS;400;29;корица;кг;1;0;0;0;0;0;;457;;;0
GOODS;465;52;мед;кг;1;0;0;0;0;0;;527;;;0
GOODS;467;52;Сироп Мята;л;1;0;0;0;0;410;;529;;;0
GOODS;468;52;Сироп Малина;л;1;0;0;0;0;410;;530;;;0
DISH;250;39;Шарики апельсина;порц;0,03;0;0;0;0;50;;283;;Основное место приготовления;1
DISH;251;39;Шарики граната;порц;0,03;0;0;0;0;50;;284;;Основное место приготовления;1
DISH;306;39;Шарики зеленое яблоко;порц;0,03;0;0;0;0;50;;349;;Основное место приготовления;1
DISH;254;39;Шарики клубники ;порц;0,03;0;0;0;0;50;;287;;Основное место приготовления;1
DISH;256;39;Шарики черники ;порц;0,03;0;0;0;0;50;;289;;Основное место приготовления;1
GOODS;367;13;ложка пластиковая ;шт;1;0;0;0;0;0;;419;;;0
GOODS;475;;сыр пластиками;кг;1;0;0;0;0;0;;538;;;0
GOODS;62;52;"Сироп ""Груша""";л;1,3;0;0;0;0;1120;;65;;;0
GOODS;60;52;"Сироп ""Облепиха-Имбирь""";л;1,3;0;0;0;0;1040;;63;;;0
GOODS;369;;халва;кг;1;0;0;0;0;0;;421;;;0
DISH;424;5;1 Бабл Ти  макси ПОНЕДЕЛЬНИК;порц;3,02;0;0;0;0;0;;483;;Основное место приготовления;0
DISH;423;5;1 Бабл Ти  Стандарт ПОНЕДЕЛЬНИК;порц;2,023;0;0;0;0;0;;482;;Основное место приготовления;0
DISH;453;;ХЭЛЛОУИН закладованная папайя Стандарт;порц;2,117;0;0;0;0;220;;514;;Основное место приготовления;0
GOODS;42;52;"Сироп ""Грейпфрут""";л;1,3;0;0;0;0;410;;45;;;0
DISH;460;69;Чай имбирный;порц;1,045;0;0;0;0;130;;522;;Основное место приготовления;0
DISH;466;69;Чай клюквенный;порц;1,048;0;0;0;0;130;;528;;Основное место приготовления;0
DISH;469;69;Чай малиновый;порц;0,045;0;0;0;0;130;;531;;Основное место приготовления;0
DISH;470;69;Чай яблочный;порц;1,027;0;0;0;0;130;;532;;Основное место приготовления;0
DISH;381;39;Кокос в  зеленый чай ;порц;0,03;0;0;0;0;50;;433;;Основное место приготовления;0
DISH;422;66;Бабл ти горячий Виноград Стандарт;порц;2,052;0;0;0;0;0;;481;;Основное место приготовления;0
DISH;418;66;Горячая черника и конфети Стандарт;порц;2,121;0;0;0;0;0;;477;;Основное место приготовления;0
DISH;420;66;Горячий Кофе с кокосом;порц;2,065;0;0;0;0;0;;479;;Основное место приготовления;0
DISH;421;66;Горячий Кофе с Миндалем;порц;2,064;0;0;0;0;0;;480;;Основное место приготовления;0
DISH;273;5;Бабл  Ти Белка (улун);порц;2,051;0;0;0;0;210;;311;;Основное место приготовления;0
DISH;288;39;Шарики голубика;порц;0,03;0;0;0;0;50;;330;;Основное место приготовления;0
DISH;415;14;СОЮЗ-54 Макси;порц;3,412;0;0;0;0;250;;473;;Основное место приготовления;0
DISH;414;14;Армстронг Черника макси;порц;3,412;0;0;0;0;250;;472;;Основное место приготовления;0
DISH;334;50;Какао с зефирками, 400 мл;порц;2,245;0;0;0;0;280;;385;;Основное место приготовления;1
GOODS;490;54;"Сухая смесь ""Манго""";кг;1;0;0;0;0;600;;554;;;0
GOODS;492;52;Топпинг Голубое Небо Айс дрим;кг;1;0;0;0;0;292;;556;;;0
GOODS;493;52;Топпинг Лесной Орех Айс дрим;кг;1;0;0;0;0;292;;557;;;0
GOODS;495;52;Топпинг Ваниль Айс дрим;кг;1;0;0;0;0;292;;559;;;0
GOODS;494;52;Топпинг Шоколад Айс дрим;кг;1;0;0;0;0;292;;558;;;0
GOODS;502;59;холодильник позис свияга;шт;1;0;0;0;0;0;;566;;;0
GOODS;506;59;видекамера;шт;1;0;0;0;0;0;;570;;;0
GOODS;507;;холодильная витрина;кг;1;0;0;0;0;0;;571;;;0
GOODS;508;59;кипятильник;кг;1;0;0;0;0;0;;572;;;0
DISH;498;14;Шоколадный милк шейк  Стандарт ;порц;2,335;0;0;0;0;330;;562;;Основное место приготовления;1
DISH;497;14;Ванильный Милк Шейк  Стандарт ;порц;2,335;0;0;0;0;330;;561;;Основное место приготовления;1
DISH;499;14;Милк шейк Бубль гум Стандарт ;порц;2,313;0;0;0;0;250;;563;;Основное место приготовления;1
DISH;511;14;Милк шейк Ваниль Манго  Стандарт ;порц;2,305;0;0;0;0;330;;575;;Основное место приготовления;1
DISH;496;23;Лимонад Мятный Киви Стандарт;порц;2,06;0;0;0;0;270;;560;;Основное место приготовления;1
DISH;388;29;Бабл вафля;порц;0,117;0;0;0;0;100;;444;;Основное место приготовления;1
DISH;404;29;Бабл вафля с Бананом в шоколаде;порц;3,192;0;0;0;0;150;;461;;Основное место приготовления;1
DISH;505;71;Шоколадная поливка для вафли;порц;0,015;0;0;0;0;20;;569;;Основное место приготовления;1
DISH;148;27;Джанго макси;порц;3,373;0;0;0;0;210;;166;;Основное место приготовления;1
DISH;147;27;Джанго стандарт;порц;2,297;0;0;0;0;190;;165;;Основное место приготовления;1
